2019-09-06 09:33:09.9424||DEBUG|QQQidian.Program|init main |url: |action: 
2019-09-06 09:37:25.5658||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.7094||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.7433||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.7712||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.8870||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.9151||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.9269||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.9684||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.9684||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:26.9847||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.1312||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.2309||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.3224||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.3383||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.3470||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:27.3727||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:30.7813||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:48.5171||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.1839||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.1989||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
