2019-09-06 09:33:09.9424||DEBUG|QQQidian.Program|init main |url: |action: 
2019-09-06 09:37:49.2600||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.4042||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.4190||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.4476||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.4611||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.6512||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.6651||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.6832||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.6904||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.7225||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.7500||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.8881||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.9274||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.9274||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:49.9820||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:37:53.4160||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:02.9079||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:04.0166||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:08.2253||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:11.2973||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.4480||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.5541||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.5773||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.5773||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.6234||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.6416||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.6552||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.7008||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.7866||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.7866||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.8436||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.8698||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:46:33.9036||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-06 09:50:13.8760||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
