2019-09-17 16:51:05.5087||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.5765||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.5997||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.6555||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.6555||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.7231||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.7333||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.7333||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.7601||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.7861||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000080.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.8013||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.8573||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.8573||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
