2019-09-06 09:37:25.4710|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:37:25.4836|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "getCustomerInfos", controller = "Home"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] getCustomerInfos() on controller QQQidian.Controllers.HomeController (QQQidian). 
2019-09-06 09:37:25.4836|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) - Validation state: Valid 
2019-09-06 09:37:25.5658||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos 
2019-09-06 09:37:26.7094||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 
2019-09-06 09:37:26.7433||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 
2019-09-06 09:37:26.7712||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 
2019-09-06 09:37:26.8870||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 
2019-09-06 09:37:26.9151||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 
2019-09-06 09:37:26.9269||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 
2019-09-06 09:37:26.9684||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 
2019-09-06 09:37:26.9684||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 
2019-09-06 09:37:26.9847||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 
2019-09-06 09:37:27.0987||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 
2019-09-06 09:37:27.1312||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 
2019-09-06 09:37:27.2309||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 
2019-09-06 09:37:27.3224||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 
2019-09-06 09:37:27.3383||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 
2019-09-06 09:37:27.3470||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 
2019-09-06 09:37:27.3727||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 
2019-09-06 09:37:30.7813||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos 
2019-09-06 09:37:30.7813|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian), returned result Microsoft.AspNetCore.Mvc.FileContentResult in 5297.1473ms. 
2019-09-06 09:37:30.7984|2|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.FileContentResultExecutor|Executing Microsoft.AspNetCore.Mvc.FileContentResult, sending file with download name 'cusInfoJson_20190906093730.csv' ... 
2019-09-06 09:37:30.9461|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) in 5461.4384ms 
2019-09-06 09:37:30.9521|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:37:30.9521|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5503.4353ms 200 application/csv 
2019-09-06 09:37:44.9332|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/lib/bootstrap/dist/js/bootstrap.min.js.map   
2019-09-06 09:37:44.9364|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/lib/bootstrap/dist/js/bootstrap.bundle.js.map   
2019-09-06 09:37:44.9364|6|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The file /lib/bootstrap/dist/js/bootstrap.min.js.map was not modified 
2019-09-06 09:37:44.9364|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5.3551ms 304 text/plain 
2019-09-06 09:37:44.9364|6|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The file /lib/bootstrap/dist/js/bootstrap.bundle.js.map was not modified 
2019-09-06 09:37:44.9364|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 9.4684ms 304 text/plain 
2019-09-06 09:37:44.9993|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/lib/bootstrap/dist/css/bootstrap.css.map   
2019-09-06 09:37:44.9993|6|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The file /lib/bootstrap/dist/css/bootstrap.css.map was not modified 
2019-09-06 09:37:45.0294|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/lib/bootstrap/dist/css/bootstrap.min.css.map   
2019-09-06 09:37:45.0294|6|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The file /lib/bootstrap/dist/css/bootstrap.min.css.map was not modified 
2019-09-06 09:37:45.0294|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 32.1783ms 304 text/plain 
2019-09-06 09:37:45.0294|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 12.5157ms 304 text/plain 
2019-09-06 09:37:48.5005|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/cus   
2019-09-06 09:37:48.5005|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:37:48.5005|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "getCustomerInfos", controller = "Home"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] getCustomerInfos() on controller QQQidian.Controllers.HomeController (QQQidian). 
2019-09-06 09:37:48.5171|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) - Validation state: Valid 
2019-09-06 09:37:48.5171||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos 
2019-09-06 09:37:49.1839||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 
2019-09-06 09:37:49.1989||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 
2019-09-06 09:37:49.2600||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 
